['2016010700', 'METAR', 'SBGL', '070000Z', '10011KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '19', 'Q1013=']
['2016010701', 'METAR', 'SBGL', '070100Z', '10008KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '25', '20', 'Q1013=']
['2016010702', 'METAR', 'SBGL', '070200Z', '12004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '25', '20', 'Q1013=']
['2016010703', 'METAR', 'SBGL', '070300Z', '11004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '20', 'Q1013=']
['2016010704', 'METAR', 'SBGL', '070400Z', '12003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '20', 'Q1012=']
['2016010705', 'METAR', 'SBGL', '070500Z', '11003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '20', 'Q1012=']
['2016010706', 'METAR', 'SBGL', '070600Z', '13004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '20', 'Q1011=']
['2016010707', 'METAR', 'SBGL', '070700Z', '12002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '19', 'Q1010=']
['2016010708', 'METAR', 'SBGL', '070800Z', '00000KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '20', 'Q1011=']
['2016010709', 'METAR', 'SBGL', '070900Z', '33003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '21', 'Q1011=']
['2016010710', 'METAR', 'SBGL', '071000Z', '36003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '20', 'Q1011=']
['2016010711', 'METAR', 'SBGL', '071100Z', '36003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '20', 'Q1011=']
['2016010712', 'METAR', 'SBGL', '071200Z', '36003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '28', '19', 'Q1011=']
['2016010713', 'METAR', 'SBGL', '071300Z', '36004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '29', '20', 'Q1011=']
['2016010714', 'METAR', 'SBGL', '071400Z', '02004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '31', '20', 'Q1010=']
['2016010715', 'METAR', 'SBGL', '071500Z', '05007KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '32', '19', 'Q1009=']
['2016010716', 'METAR', 'SBGL', '071600Z', '13009KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '31', '19', 'Q1009=']
['2016010717', 'METAR', 'SBGL', '071700Z', '14010KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '31', '19', 'Q1008=']
['2016010718', 'METAR', 'SBGL', '071800Z', '13013KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '31', '20', 'Q1008=']
['2016010719', 'METAR', 'SBGL', '071900Z', '14015KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '30', '19', 'Q1007=']
['2016010720', 'METAR', 'SBGL', '072000Z', '15013KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '29', '20', 'Q1007=']
['2016010721', 'METAR', 'SBGL', '072100Z', '16013KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '28', '20', 'Q1008=']
['2016010722', 'METAR', 'SBGL', '072200Z', '16009KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '27', '20', 'Q1008=']
['2016010723', 'METAR', 'SBGL', '072300Z', '15007KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '27', '19', 'Q1009=']
['2016010800', 'METAR', 'SBGL', '080000Z', '12005KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '20', 'Q1010=']
['2016010801', 'METAR', 'SBGL', '080100Z', '11003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '21', 'Q1010=']
['2016010802', 'METAR', 'SBGL', '080200Z', '06004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '25', '21', 'Q1011=']
['2016010803', 'METAR', 'SBGL', '080300Z', '10003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '25', '21', 'Q1010=']
['2016010804', 'METAR', 'SBGL', '080400Z', '10004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '25', '21', 'Q1010=']
['2016010805', 'METAR', 'SBGL', '080500Z', '08004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '21', 'Q1009=']
['2016010806', 'METAR', 'SBGL', '080600Z', '06004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '21', 'Q1009=']
['2016010807', 'METAR', 'SBGL', '080700Z', '00000KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '21', 'Q1009=']
['2016010808', 'METAR', 'SBGL', '080800Z', '00000KT', '9999', 'X', 'FEW009', 'X', 'X', 'X', '24', '21', 'Q1009=']
['2016010809', 'METAR', 'SBGL', '080900Z', '01005KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '22', 'Q1010=']
['2016010810', 'METAR', 'SBGL', '081000Z', '25003KT', '7000', 'X', 'NSC', 'X', 'X', 'X', '25', '21', 'Q1010=']
['2016010811', 'METAR', 'SBGL', '081100Z', '01003KT', '7000', 'X', 'NSC', 'X', 'X', 'X', '27', '22', 'Q1010=']
['2016010812', 'METAR', 'SBGL', '081200Z', '12003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '30', '22', 'Q1010=']
['2016010813', 'METAR', 'SBGL', '081300Z', '14005KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '31', '21', 'Q1010=']
['2016010814', 'METAR', 'SBGL', '081400Z', '13004KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '34', '21', 'Q1010=']
